City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Katsuura,JP,80.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
535,Kokubu,JP,76.53,fog,31.7333,130.7667,Hotel Kyocera
537,Mahibadhoo,MV,80.67,moderate rain,3.7833,72.9667,Omadhoo Inn
538,Nogales,MX,89.17,clear sky,31.3086,-110.9422,Siesta Motel
539,Cacoal,BR,83.21,scattered clouds,-11.4386,-61.4472,Hotel BR 364
544,Faanui,PF,77.32,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
549,Langham,CA,86.02,scattered clouds,52.3668,-106.9679,Shady Rest Motel
553,Casambalangan,PH,81.39,broken clouds,18.3765,122.1274,Villa Saturnina
556,Novo Aripuana,BR,80.91,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
558,Liyang,CN,77.76,overcast clouds,29.7057,118.2862,Hui Boutique Hotel
560,Bhavani,IN,76.71,overcast clouds,11.45,77.6833,Hotel Paviesh Park
561,Cali,CO,77.0,light rain,3.4372,-76.5225,Hotel La Luna
562,Yenangyaung,MM,78.8,overcast clouds,20.4667,94.8833,Hotel Country
563,Buala,SB,83.68,light rain,-8.145,159.5921,Maringe Lagoon Lodge
566,Abu Zabad,SD,78.49,overcast clouds,12.35,29.25,حامد محمد نور
567,Pedasi,PA,80.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
571,Villa Union,MX,87.76,overcast clouds,23.2,-106.2333,My Fantasy Auto-Hotel
574,Cairns,AU,76.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
575,Muncar,ID,75.7,broken clouds,-8.4333,114.3333,Zaky Homestay
578,Duluth,US,86.07,clear sky,46.7833,-92.1066,South Pier Inn
579,Esperanza,DO,86.58,clear sky,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
581,Dakar,SN,81.48,scattered clouds,14.6937,-17.4441,Novotel Dakar
583,Carutapera,BR,76.19,broken clouds,-1.195,-46.02,Lidera
587,Dicabisagan,PH,81.05,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
588,Itoman,JP,84.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
589,Escanaba,US,80.96,clear sky,45.7453,-87.0646,Sunset Lodge
596,Freeport,US,81.99,few clouds,40.6576,-73.5832,The Freeport Inn and Marina
600,Itarema,BR,79.16,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
605,Sorrento,IT,81.1,clear sky,40.626,14.3744,Hilton Sorrento Palace
606,Hudson Bay,CA,78.37,scattered clouds,52.85,-102.3842,Norwood Motel LTD
607,Nola,IT,83.62,few clouds,40.922,14.5329,Palazzo Giordano Bruno
608,Mecca,SA,87.84,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
621,Wakefield,GB,76.24,overcast clouds,53.6809,-1.499,Hotel Restaurant Campanile Wakefield
624,Quesnel,CA,75.7,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
629,Jining,CN,81.09,broken clouds,35.405,116.5814,Yunhe Star Hotel
640,Cabra,ES,80.65,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
643,Melville,US,80.55,few clouds,40.7934,-73.4151,Marriott Melville Long Island
644,Port Blair,IN,81.21,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
645,Ouahigouya,BF,79.83,scattered clouds,13.5828,-2.4216,Hotel Liberte
646,Imperia,IT,79.0,few clouds,43.9667,7.7833,La Stregatta
647,Ladnun,IN,88.45,broken clouds,27.65,74.3833,Varsha Sanjay Sadan
