City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Lewistown,US,2022-07-11 23:15:51,40.5992,-77.5714,87.13,100,11,10.38
116,Mareeba,AU,2022-07-11 23:15:51,-17.0,145.4333,63.45,82,3,1.12
117,Bambous Virieux,MU,2022-07-11 23:15:51,-20.3428,57.7575,71.22,73,40,17.27
118,Aklavik,CA,2022-07-11 23:15:52,68.2191,-135.0107,74.16,46,99,15.32
119,Nikolskoye,RU,2022-07-11 23:15:52,59.7035,30.7861,62.8,99,100,7.94
120,Saint George,US,2022-07-11 23:11:01,37.1041,-113.5841,111.63,12,0,10.36
121,Cape Town,ZA,2022-07-11 23:13:27,-33.9258,18.4232,53.89,92,67,4.0
122,Xunchang,CN,2022-07-11 23:15:53,28.4543,104.715,80.96,85,100,2.53
123,Provideniya,RU,2022-07-11 23:15:53,64.3833,-173.3,55.51,76,75,7.0
124,Tshela,CD,2022-07-11 23:15:53,-4.9833,12.9333,64.35,99,68,1.5
125,Torbay,CA,2022-07-11 23:15:06,47.6666,-52.7314,64.89,59,86,11.1
126,Saravan,AM,2022-07-11 23:15:54,39.7196,45.6483,61.18,63,0,8.68
127,Tuatapere,NZ,2022-07-11 23:15:54,-46.1333,167.6833,41.56,82,100,7.54
128,Quelimane,MZ,2022-07-11 23:15:54,-17.8786,36.8883,69.75,94,75,3.44
129,Julio De Castilhos,BR,2022-07-11 23:15:55,-29.2269,-53.6817,55.47,95,100,23.33
130,Sakaiminato,JP,2022-07-11 23:15:55,35.55,133.2333,78.78,89,75,6.91
131,Tucupita,VE,2022-07-11 23:15:55,9.0622,-62.051,74.73,98,100,3.4
132,Zyryanka,RU,2022-07-11 23:15:56,65.75,150.85,81.59,48,20,14.5
133,Port Elizabeth,ZA,2022-07-11 23:15:56,-33.918,25.5701,56.32,76,0,10.36
134,Conceicao Da Barra,BR,2022-07-11 23:15:56,-18.5933,-39.7322,70.23,90,88,4.65
135,Karratha,AU,2022-07-11 23:15:57,-20.7377,116.8463,61.72,32,1,11.63
136,Stornoway,GB,2022-07-11 23:15:39,58.2093,-6.3865,57.92,93,75,26.46
137,Tsushima,JP,2022-07-11 23:14:48,35.1667,136.7167,78.8,90,99,1.9
138,Barrow,US,2022-07-11 23:12:23,71.2906,-156.7887,37.42,87,100,13.8
139,Aljezur,PT,2022-07-11 23:16:57,37.3191,-8.8033,74.03,50,95,5.14
140,Bondoukou,CI,2022-07-11 23:16:58,8.0333,-2.8,69.87,98,73,5.53
141,San Francisco,US,2022-07-11 23:16:12,37.7749,-122.4194,95.99,73,20,21.85
142,Nizwa,OM,2022-07-11 23:16:58,22.9333,57.5333,80.6,84,100,3.06
143,Kaabong,UG,2022-07-11 23:16:58,3.4836,34.1492,63.75,71,96,13.2
144,Rapid City,US,2022-07-11 23:14:33,44.0805,-103.231,81.73,33,0,20.71
145,Jamestown,US,2022-07-11 23:16:59,42.097,-79.2353,83.95,55,20,11.5
146,Larsnes,NO,2022-07-11 23:16:59,62.2028,5.5773,63.01,93,94,2.64
147,Los Llanos De Aridane,ES,2022-07-11 23:17:00,28.6585,-17.9182,67.75,93,75,14.97
148,Tilichiki,RU,2022-07-11 23:17:00,60.4667,166.1,65.59,50,71,3.24
149,Mulege,MX,2022-07-11 23:17:00,26.8833,-111.9833,95.65,45,64,8.99
150,Bloemfontein,ZA,2022-07-11 23:17:00,-29.1211,26.214,29.68,93,0,2.3
151,Boke,GN,2022-07-11 23:17:01,10.9409,-14.2967,74.97,97,88,3.22
152,Hambantota,LK,2022-07-11 23:17:01,6.1241,81.1185,79.48,81,100,18.3
153,Swan Hill,AU,2022-07-11 23:17:01,-35.3378,143.5544,47.19,81,100,6.69
154,Skegness,GB,2022-07-11 23:17:02,53.1436,0.3363,70.05,73,100,15.08
155,Bondo,CD,2022-07-11 23:17:02,3.8146,23.6866,68.0,98,55,0.27
156,Ribeira Grande,PT,2022-07-11 23:17:03,38.5167,-28.7,69.49,78,100,6.46
157,Itarema,BR,2022-07-11 23:17:03,-2.9248,-39.9167,79.57,76,93,13.0
158,Arkhipo-Osipovka,RU,2022-07-11 23:17:03,44.37,38.52,69.51,81,0,3.83
159,Gasa,PS,2022-07-11 23:17:04,31.5,34.4667,75.61,72,0,2.89
160,Salalah,OM,2022-07-11 23:17:04,17.0151,54.0924,77.09,94,100,9.22
161,Nouakchott,MR,2022-07-11 23:17:04,18.0858,-15.9785,76.93,85,1,10.85
162,Clyde River,CA,2022-07-11 23:17:05,70.4692,-68.5914,43.03,93,100,21.85
163,Kapuskasing,CA,2022-07-11 23:16:02,49.4169,-82.4331,59.09,94,100,10.36
164,Kaeo,NZ,2022-07-11 23:17:05,-35.1,173.7833,63.32,97,85,13.09
165,Hualmay,PE,2022-07-11 23:17:06,-11.0964,-77.6139,62.38,80,41,11.59
166,Zheleznodorozhnyy,RU,2022-07-11 23:17:06,55.7503,38.0042,73.81,90,100,8.21
167,Macusani,PE,2022-07-11 23:17:06,-14.0833,-70.4333,39.65,77,41,4.25
168,Ancud,CL,2022-07-11 23:17:07,-41.8697,-73.8203,43.23,86,100,21.3
169,Mount Gambier,AU,2022-07-11 23:17:07,-37.8333,140.7667,47.21,82,94,2.51
170,Avarua,CK,2022-07-11 23:17:08,-21.2078,-159.775,77.05,65,100,9.22
171,Kaduqli,SD,2022-07-11 23:17:08,11.0167,29.7167,72.41,88,100,2.08
172,Villamontes,BO,2022-07-11 23:17:08,-21.25,-63.5,60.39,49,96,5.57
173,Pomabamba,PE,2022-07-11 23:17:09,-8.8333,-77.4667,57.9,56,72,4.27
174,Te Anau,NZ,2022-07-11 23:17:09,-45.4167,167.7167,37.26,71,100,3.02
175,Saint-Philippe,RE,2022-07-11 23:17:09,-21.3585,55.7679,66.22,82,42,16.62
176,Munster,DE,2022-07-11 23:17:10,51.9624,7.6257,63.32,91,20,1.14
177,Seoul,KR,2022-07-11 23:14:38,37.5683,126.9778,78.19,69,95,4.32
178,San Patricio,US,2022-07-11 23:17:10,28.017,-97.5169,99.32,37,27,14.81
179,Georgetown,MY,2022-07-11 23:16:33,5.4112,100.3354,78.89,91,40,2.3
180,Morondava,MG,2022-07-11 23:17:11,-20.2833,44.2833,66.63,72,0,5.37
181,Yinchuan,CN,2022-07-11 23:17:11,38.4681,106.2731,74.95,63,87,4.47
182,Grand Forks,US,2022-07-11 23:17:12,47.9417,-97.4337,80.53,44,40,17.27
183,Olafsvik,IS,2022-07-11 23:17:12,64.8945,-23.7142,51.15,85,100,20.29
184,Severo-Kurilsk,RU,2022-07-11 23:17:12,50.6789,156.125,59.27,86,45,6.98
185,Naze,JP,2022-07-11 23:18:13,28.3667,129.4833,81.52,85,98,6.6
186,Rodrigues Alves,BR,2022-07-11 23:18:13,-7.738,-72.6509,84.4,68,90,3.15
187,Bilma,NE,2022-07-11 23:18:13,18.6853,12.9164,91.94,18,69,1.7
188,Hasaki,JP,2022-07-11 23:18:14,35.7333,140.8333,79.29,88,100,4.52
189,Praia,CV,2022-07-11 23:15:43,14.9215,-23.5087,77.54,73,75,9.22
190,Alta Floresta,BR,2022-07-11 23:18:14,-9.8756,-56.0861,77.74,39,52,2.39
191,Banes,CU,2022-07-11 23:18:15,20.9625,-75.7186,82.49,74,38,9.04
192,Harnosand,SE,2022-07-11 23:18:15,62.6323,17.9379,57.0,70,19,6.29
193,Broome,US,2022-07-11 23:18:15,42.2506,-75.833,85.46,53,0,11.5
194,Bandarbeyla,SO,2022-07-11 23:18:16,9.4942,50.8122,81.12,58,99,25.08
195,Upernavik,GL,2022-07-11 23:18:16,72.7868,-56.1549,38.8,87,94,8.48
196,Meulaboh,ID,2022-07-11 23:18:16,4.1363,96.1285,75.88,85,100,8.19
197,Ilulissat,GL,2022-07-11 23:18:17,69.2167,-51.1,42.82,87,75,3.44
198,Prince Rupert,CA,2022-07-11 23:18:17,54.3161,-130.3201,60.89,73,40,6.91
199,Yanam,IN,2022-07-11 23:18:17,16.7333,82.2167,75.76,86,100,13.96
200,Kununurra,AU,2022-07-11 23:18:18,-15.7667,128.7333,51.78,76,12,2.3
201,Racine,US,2022-07-11 23:16:49,42.7495,-88.0751,87.49,51,100,12.66
202,Emerald,AU,2022-07-11 23:14:53,-23.5333,148.1667,48.34,83,88,5.48
203,West Helena,US,2022-07-11 23:18:18,34.5507,-90.6418,92.95,26,0,4.25
204,Deer Lake,CA,2022-07-11 23:18:19,49.1667,-57.4316,60.66,82,75,10.36
205,Fonte Boa,BR,2022-07-11 23:18:19,-2.4959,-66.2662,78.24,78,100,1.63
206,Oxford,GB,2022-07-11 23:16:44,51.7522,-1.256,70.77,65,20,3.44
207,Narsaq,GL,2022-07-11 23:18:20,60.9167,-46.05,52.02,87,30,4.27
208,Odweyne,SO,2022-07-11 23:18:20,9.4092,45.064,68.14,63,93,19.98
209,Lorengau,PG,2022-07-11 23:18:20,-2.0226,147.2712,82.08,78,15,10.98
210,Kaseda,JP,2022-07-11 23:18:21,31.4167,130.3167,80.85,86,100,1.25
211,Norman Wells,CA,2022-07-11 23:18:21,65.282,-126.8329,71.64,56,75,17.27
212,Sabancuy,MX,2022-07-11 23:18:21,18.9667,-91.1833,85.55,67,100,9.04
213,Pochutla,MX,2022-07-11 23:18:22,15.7432,-96.4661,84.81,75,78,6.33
214,Tessalit,ML,2022-07-11 23:18:22,20.1986,1.0114,97.05,19,88,8.16
215,The Pas,CA,2022-07-11 23:16:38,53.8251,-101.2541,75.22,50,100,11.5
216,Lagoa,PT,2022-07-11 23:18:22,39.05,-27.9833,67.91,83,74,9.44
217,Quballat,TN,2022-07-11 23:18:23,36.5418,9.6633,72.48,57,0,3.4
218,Puerto Ayora,EC,2022-07-11 23:18:23,-0.7393,-90.3518,71.55,86,82,7.0
219,Porto Belo,BR,2022-07-11 23:18:23,-27.1578,-48.5531,71.55,83,100,6.26
220,Yankton,US,2022-07-11 23:18:09,42.8711,-97.3973,82.65,39,40,19.57
221,Lasa,IT,2022-07-11 23:18:24,46.6166,10.7002,67.08,87,7,5.06
222,Amapa,BR,2022-07-11 23:18:24,1.0,-52.0,72.28,98,42,2.39
223,Tura,IN,2022-07-11 23:18:25,25.5198,90.2201,74.8,90,13,4.72
224,Rayong,TH,2022-07-11 23:18:25,12.8333,101.4333,81.28,99,100,9.26
225,Namibe,AO,2022-07-11 23:18:25,-15.1961,12.1522,65.34,87,83,4.07
226,Savinskiy,RU,2022-07-11 23:18:26,62.9342,40.1361,61.7,93,10,4.14
227,Airai,TL,2022-07-11 23:18:26,-8.9266,125.4092,55.85,86,89,3.4
228,Kieta,PG,2022-07-11 23:18:26,-6.2167,155.6333,83.46,71,78,5.39
229,Hobbs,US,2022-07-11 23:18:27,32.7026,-103.136,102.29,11,0,13.8
230,Soyo,AO,2022-07-11 23:18:27,-6.1349,12.3689,69.82,93,83,9.42
231,Bangangte,CM,2022-07-11 23:19:27,5.1409,10.5198,60.57,98,99,3.6
232,Simpang Empat,MY,2022-07-11 23:19:28,4.95,100.6333,74.32,95,100,4.76
233,Palomares,MX,2022-07-11 23:19:28,17.15,-95.0667,86.25,78,92,4.61
234,Pangnirtung,CA,2022-07-11 23:19:28,66.1451,-65.7125,55.0,60,100,3.2
235,Carutapera,BR,2022-07-11 23:19:29,-1.195,-46.02,75.24,92,10,5.99
236,Kaeng Khoi,TH,2022-07-11 23:19:29,14.5862,100.9976,79.11,92,100,2.46
237,Tiksi,RU,2022-07-11 23:19:29,71.6872,128.8694,35.89,97,100,17.94
238,Vestmannaeyjar,IS,2022-07-11 23:19:30,63.4427,-20.2734,52.88,91,100,21.92
239,Sibolga,ID,2022-07-11 23:19:30,1.7427,98.7792,74.79,88,98,3.56
240,Sao Joao Da Barra,BR,2022-07-11 23:17:28,-21.6403,-41.0511,72.37,87,0,21.07
241,Ambilobe,MG,2022-07-11 23:19:30,-13.2,49.05,64.6,76,3,3.74
242,Timizart,DZ,2022-07-11 23:19:31,36.8,4.2667,75.43,36,0,7.31
243,Filadelfia,US,2022-07-11 23:17:01,39.9523,-75.1638,83.7,49,20,10.36
244,Kawalu,ID,2022-07-11 23:19:31,-7.3817,108.2082,70.97,97,82,1.36
245,Ambon,ID,2022-07-11 23:19:31,-3.6954,128.1814,73.54,94,75,10.36
246,Jaciara,BR,2022-07-11 23:19:32,-15.9653,-54.9683,74.28,35,15,3.0
247,Hashtrud,IR,2022-07-11 23:19:32,37.4779,47.0508,69.85,41,0,5.08
248,Quba,AZ,2022-07-11 23:19:32,41.3626,48.5152,74.08,52,0,7.56
249,Rockhampton,AU,2022-07-11 23:19:33,-23.3833,150.5,58.89,63,75,3.44
250,Saldanha,ZA,2022-07-11 23:19:33,-33.0117,17.9442,55.45,79,100,7.61
251,Acapulco,MX,2022-07-11 23:19:33,16.8634,-99.8901,85.82,74,40,6.91
252,Port Blair,IN,2022-07-11 23:19:34,11.6667,92.75,82.44,83,100,10.36
253,Noumea,NC,2022-07-11 23:19:34,-22.2763,166.4572,73.38,99,47,6.49
254,Fairbanks,US,2022-07-11 23:17:03,64.8378,-147.7164,71.56,73,75,3.44
255,Kasama,ZM,2022-07-11 23:15:49,-10.2129,31.1808,50.63,77,35,0.43
