City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Ishigaki,JP,24.3448,124.1572,86.13,84,75,20.71,broken clouds
277,Kargasok,RU,59.0556,80.8572,51.1,96,17,9.26,few clouds
278,Asau,RO,46.4333,26.4,56.32,68,32,3.67,scattered clouds
279,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,72.19,64,0,4.47,clear sky
280,Paamiut,GL,61.994,-49.6678,43.25,86,100,3.6,overcast clouds
281,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,4.61,broken clouds
282,Olafsvik,IS,64.8945,-23.7142,50.34,87,90,5.79,overcast clouds
283,Kuryk,KZ,43.2,51.65,85.23,34,0,7.81,clear sky
284,Mendi,PG,-6.1761,143.6513,60.22,90,94,1.63,overcast clouds
285,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,92,0,17.27,clear sky
286,Gamba,GA,-2.65,10.0,68.94,91,23,4.03,few clouds
287,Sao Filipe,CV,14.8961,-24.4956,74.89,80,29,13.98,scattered clouds
288,Santa Rosalia,MX,27.3167,-112.2833,88.54,50,3,6.62,clear sky
289,Svetlaya,RU,46.5389,138.3297,61.09,88,100,1.61,light rain
290,Axim,GH,4.8699,-2.2405,74.07,82,52,8.23,broken clouds
291,Kabompo,ZM,-13.5927,24.2008,51.96,49,3,6.67,clear sky
292,Suez,EG,29.9737,32.5263,74.73,74,0,9.19,clear sky
293,Gizo,SB,-8.103,156.8419,82.96,71,42,5.53,scattered clouds
294,Ulaangom,MN,49.9811,92.0667,64.89,52,54,1.36,broken clouds
295,Saint Stephen,GB,50.3333,-4.9,68.27,49,100,12.66,overcast clouds
296,Narsaq,GL,60.9167,-46.05,53.82,78,79,3.71,broken clouds
297,Nuuk,GL,64.1835,-51.7216,45.21,87,75,21.85,broken clouds
298,Bouna,CI,9.2667,-3.0,72.37,91,85,8.21,light rain
299,Martapura,ID,-3.4167,114.85,73.49,100,20,3.44,few clouds
300,Ylivieska,FI,64.0833,24.55,55.31,92,100,4.99,light rain
301,Namibe,AO,-15.1961,12.1522,64.81,80,5,1.9,clear sky
302,San Cristobal,VE,7.7669,-72.225,77.18,88,58,3.85,broken clouds
303,Port Hardy,CA,50.6996,-127.4199,62.78,72,40,10.36,scattered clouds
304,Muyuka,CM,4.2898,9.4103,73.63,96,99,0.69,overcast clouds
305,Bud,US,39.447,-86.1758,73.45,97,100,3.42,moderate rain
306,Baghdad,IQ,33.3406,44.4009,87.71,22,0,5.75,clear sky
307,Vestmannaeyjar,IS,63.4427,-20.2734,51.4,89,52,11.43,broken clouds
308,Rossland,CA,49.0831,-117.8022,81.63,31,0,5.99,clear sky
309,Cooma,AU,-36.2333,149.1333,37.29,74,8,4.03,clear sky
310,Snezhnogorsk,RU,69.1933,33.2531,47.98,97,97,5.32,overcast clouds
311,Shaunavon,CA,49.6501,-108.4181,85.78,20,0,8.7,clear sky
312,Beringovskiy,RU,63.05,179.3167,46.71,41,11,25.03,few clouds
